date,platform,series_type,observed,trend_classical,seasonal_classical,resid_classical,trend_stl,seasonal_stl,resid_stl
2024-01-01,Bing Ads,spend,0.0,0.0,8.812005285053656,-8.812005285053656,-8.87312435561401e-12,1.55253371301494e-11,-6.652212774535389e-12
2024-01-02,Bing Ads,spend,0.0,0.0,0.41218526255647,-0.41218526255647,-7.1687601352374404e-12,1.1534829198964613e-11,-4.366069063727172e-12
2024-01-03,Bing Ads,spend,0.0,0.0,-0.7397973021229555,0.7397973021229555,-5.632649616634729e-12,7.286148022366737e-12,-1.6534984057320075e-12
2024-01-04,Bing Ads,spend,0.0,0.0,0.10385407181244655,-0.10385407181244655,-4.244137202977269e-12,2.5515491539892977e-12,1.692588048987971e-12
2024-01-05,Bing Ads,spend,0.0,0.0,-0.07745518417341307,0.07745518417341307,-2.958047545513973e-12,-2.926896053578055e-12,5.884943599092028e-12
2024-01-06,Bing Ads,spend,0.0,0.0,-4.956365454318205,4.956365454318205,-1.703942316254791e-12,-9.38826233054484e-12,1.1092204646799632e-11
2024-01-07,Bing Ads,spend,0.0,0.0,-3.5544266788080026,3.5544266788080026,-3.9248044294408583e-13,-1.6701395851767453e-11,1.7093876294711538e-11
2024-01-08,Bing Ads,spend,0.0,0.0,8.812005285053656,-8.812005285053656,7.511758886728388e-13,8.558213041522488e-12,-9.309388930195326e-12
2024-01-09,Bing Ads,spend,0.0,0.0,0.41218526255647,-0.41218526255647,9.703203285766181e-13,6.150549876642457e-12,-7.120870205219075e-12
2024-01-10,Bing Ads,spend,0.0,0.0,-0.7397973021229555,0.7397973021229555,7.871569521868101e-13,3.833817332712534e-12,-4.620974284899344e-12
2024-01-11,Bing Ads,spend,0.0,0.0,0.10385407181244655,-0.10385407181244655,3.82313131589017e-13,1.5113589766890624e-12,-1.8936721082780794e-12
2024-01-12,Bing Ads,spend,0.0,0.0,-0.07745518417341307,0.07745518417341307,1.1661982668809964e-13,-9.307753561334666e-13,8.14155529445367e-13
2024-01-13,Bing Ads,spend,0.0,0.0,-4.956365454318205,4.956365454318205,2.61572897103e-13,-3.5544665999943927e-12,3.2928937028913927e-12
2024-01-14,Bing Ads,spend,0.0,0.0,-3.5544266788080026,3.5544266788080026,6.785407226883962e-13,-6.282839882724872e-12,5.604299160036475e-12
2024-01-15,Bing Ads,spend,0.0,0.0,8.812005285053656,-8.812005285053656,8.345904820125582e-13,3.5929092199675227e-14,-8.705195742122334e-13
2024-01-16,Bing Ads,spend,0.0,0.0,0.41218526255647,-0.41218526255647,6.24778590322675e-13,-5.15280163296763e-13,-1.0949842702591192e-13
2024-01-17,Bing Ads,spend,0.0,0.0,-0.7397973021229555,0.7397973021229555,4.5002582106520595e-13,-4.701478774614455e-13,2.012205639623956e-14
2024-01-18,Bing Ads,spend,0.0,0.0,0.10385407181244655,-0.10385407181244655,6.323902099161904e-13,2.357541748694909e-13,-8.681443847856813e-13
2024-01-19,Bing Ads,spend,0.0,0.0,-0.07745518417341307,0.07745518417341307,1.2801426923198037e-12,1.6278650060914343e-12,-2.908007698411238e-12
2024-01-20,Bing Ads,spend,0.0,0.0,-4.956365454318205,4.956365454318205,2.3302407139426955e-12,3.648441795739988e-12,-5.978682509682683e-12
2024-01-21,Bing Ads,spend,0.0,0.0,-3.5544266788080026,3.5544266788080026,3.602397509095041e-12,6.14916858353838e-12,-9.751566092633421e-12
2024-01-22,Bing Ads,spend,0.0,0.0,8.812005285053656,-8.812005285053656,4.8912516281700315e-12,-1.1807783369643065e-11,6.916531741473034e-12
2024-01-23,Bing Ads,spend,0.0,0.0,0.41218526255647,-0.41218526255647,6.138775063868969e-12,-1.1648212453354202e-11,5.509437389485233e-12
2024-01-24,Bing Ads,spend,0.0,0.0,-0.7397973021229555,0.7397973021229555,7.225388353526905e-12,-1.133718842566551e-11,4.111800072138605e-12
2024-01-25,Bing Ads,spend,0.0,0.0,0.10385407181244655,-0.10385407181244655,7.884704880849166e-12,-1.0833946467261493e-11,2.9492415864123275e-12
2024-01-26,Bing Ads,spend,0.0,0.0,-0.07745518417341307,0.07745518417341307,7.756288733006318e-12,-1.0012127031470377e-11,2.2558382984640585e-12
